 Large B/P (X1), Large ROE (X2), Large S/P (X3), Large Return Rate in the last quarter (X4), Large Market Value (X5), Small systematic Risk(X6),Annual Return(Y)
1,0,0,0,0,0,0.139
0,1,0,0,0,0,0.143
0,0,1,0,0,0,0.173
0,0,0,1,0,0,0.096
0,0,0,0,1,0,0.096
0,0,0,0,0,1,0.07
0.5,0.5,0,0,0,0,0.195
0.5,0,0.5,0,0,0,0.164
0,0.5,0.5,0,0,0,0.185
0.5,0,0,0.5,0,0,0.15
0,0.5,0,0.5,0,0,0.159
0,0,0.5,0.5,0,0,0.17
0.5,0,0,0,0.5,0,0.14
0,0.5,0,0,0.5,0,0.123
0,0,0.5,0,0.5,0,0.145
0,0,0,0.5,0.5,0,0.09
0.5,0,0,0,0,0.5,0.118
0,0.5,0,0,0,0.5,0.154
0,0,0.5,0,0,0.5,0.138
0,0,0,0.5,0,0.5,0.101
0,0,0,0,0.5,0.5,0.093
0.333,0.333,0.333,0,0,0,0.192
0.333,0.333,0,0.333,0,0,0.183
0.333,0,0.333,0.333,0,0,0.164
0,0.333,0.333,0.333,0,0,0.184
0.333,0.333,0,0,0.333,0,0.147
0.333,0,0.333,0,0.333,0,0.168
0,0.333,0.333,0,0.333,0,0.146
0.333,0,0,0.333,0.333,0,0.127
0,0.333,0,0.333,0.333,0,0.124
0,0,0.333,0.333,0.333,0,0.138
0.333,0.333,0,0,0,0.333,0.17
0.333,0,0.333,0,0,0.333,0.135
0,0.333,0.333,0,0,0.333,0.185
0.333,0,0,0.333,0,0.333,0.127
0,0.333,0,0.333,0,0.333,0.156
0,0,0.333,0.333,0,0.333,0.157
0.333,0,0,0,0.333,0.333,0.138
0,0.333,0,0,0.333,0.333,0.138
0,0,0.333,0,0.333,0.333,0.141
0,0,0,0.333,0.333,0.333,0.09
0.25,0.25,0.25,0.25,0,0,0.191
0.25,0.25,0.25,0,0.25,0,0.17
0.25,0.25,0,0.25,0.25,0,0.15
0.25,0,0.25,0.25,0.25,0,0.153
0,0.25,0.25,0.25,0.25,0,0.152
0.25,0.25,0.25,0,0,0.25,0.177
0.25,0.25,0,0.25,0,0.25,0.17
0.25,0,0.25,0.25,0,0.25,0.154
0,0.25,0.25,0.25,0,0.25,0.179
0.25,0.25,0,0,0.25,0.25,0.163
0.25,0,0.25,0,0.25,0.25,0.153
0,0.25,0.25,0,0.25,0.25,0.164
0.25,0,0,0.25,0.25,0.25,0.129
0,0.25,0,0.25,0.25,0.25,0.14
0,0,0.25,0.25,0.25,0.25,0.138
0.2,0.2,0.2,0.2,0.2,0,0.172
0.2,0.2,0.2,0.2,0,0.2,0.181
0.2,0.2,0.2,0,0.2,0.2,0.171
0.2,0.2,0,0.2,0.2,0.2,0.153
0.2,0,0.2,0.2,0.2,0.2,0.156
0,0.2,0.2,0.2,0.2,0.2,0.161
0.167,0.167,0.167,0.167,0.167,0.167,0.173
